country,Code,Name
Italy,ITA,Italy
Japan,JPN,Japan
Israel,ISR,Israel
Germany,GER,Germany
Canada,CAN,Canada
Netherlands,NED,Netherlands
Great Britain,GBR,Great Britain
Republic of Korea,KOR,Republic of Korea
Spain,ESP,Spain
United States of America,USA,United States of America
Australia,AUS,Australia
Greece,GRE,Greece
People's Republic of China,CHN,People's Republic of China
Great Britain,GBR,Great Britain
Brazil,BRA,Brazil
Japan,JPN,Japan
France,FRA,France
United States of America,USA,United States of America
Sweden,SWE,Sweden
Norway,NOR,Norway
Austria,AUT,Austria
Austria,AUT,Austria
France,FRA,France
Norway,NOR,Norway
Japan,JPN,Japan
United States of America,USA,United States of America
Italy,ITA,Italy
Canada,CAN,Canada
Russian Federation,RUS,Russian Federation
Republic of Korea,KOR,Republic of Korea
People's Republic of China,CHN,People's Republic of China
Italy,ITA,Italy
